name,role,team,weapon1,weapon2
FatalGrin,DPS,,Nameless Sword,?
Akira,DPS,,Nameless Sword,?
Pyslocker,DPS,,Nameless Sword,?
lamXC,DPS,,,
梦姚-Rumi,DPS,,Nameless Sword,?
Zannitsu,DPS,,Nameless Sword,?
Sinnerzz,DPS,,,
Maumi,DPS,,,
SeiRyuu,DPS,,Nameless Sword,?
Kyo,DPS,,,
Klevii,DPS,,,
SurosSync,DPS,,,
Baedom,DPS,,,
Seira,DPS,,,
KiKi,DPS,,,
Saltynut,DPS,,,
Close,Healer,,Panacea Fan,Soulshade Umbrella
Ela,Healer,,Panacea Fan,Soulshade Umbrella
ZINNNN,Healer,,Panacea Fan,Soulshade Umbrella
Ningstar,Healer,,Panacea Fan,Soulshade Umbrella
Ferula-Rula,Healer,,Panacea Fan,Soulshade Umbrella
Xingcong,Healer,,Panacea Fan,Soulshade Umbrella
Ari月,Healer,,Panacea Fan,Soulshade Umbrella
Rvllyn,Healer,,Panacea Fan,Soulshade Umbrella
vell,Healer,,,
Venthyr,Tank,,Thundercry Blade,
KiemsiJerry,Tank,,Thundercry Blade,
Drizzle,Tank,,Thundercry Blade,
Bëni,Tank,,Thundercry Blade,
Companion,Tank,,Thundercry Blade,
ThanXin,Tank,,Thundercry Blade,
RenWoXing,Healer,,Panacea Fan,Soulshade Umbrella
yeelie,DPS,,Nameless Sword,
YunneFei,DPS,,Strategic Sword,
BleuBerry,DPS,,Strategic Sword,
WIN,Tank,,Thundercry Blade,
Dhavy,Tank,,Thundercry Blade,
MightyLabs,DPS,,Nameless Sword,Inkwell Fan
Meowies,Healer,,Panacea Fan,Soulshade Umbrella
Leslie,Tank,,Thundercry Blade,
SeiSei,DPS,,,
Kawasakti,Healer,,,
Loroke,DPS,,Inkwell Fan,Vernal Umbrella
Eveda,Healer,,,
xiaoluo,DPS,,,
Mondbloom,DPS,,,
Jerry,Tank,,Thundercry Blade,
Tifa,DPS,,,
Suihua,Healer,,Panacea Fan,Soulshade Umbrella
ENEMY 1,Enemy,,,
ENEMY 2,Enemy,,,
ENEMY 3,Enemy,,,
ENEMY 4,Enemy,,,
ENEMY 5,Enemy,,,
ENEMY 6,Enemy,,,
ENEMY 7,Enemy,,,
ENEMY 8,Enemy,,,
ENEMY 9,Enemy,,,
ENEMY 10,Enemy,,,
